Conversation,Family,Time,Work,Games,Internet,Location,Fun,Food,Clothes,Health,Books_Movies,Religion,Romance,Swearing,Politics,Music,School,Feeling,Business,Adjective,Follow,Positive,negative,Article,Personal_pronoun,Auxiliary_Verb,Conjunction,Preposition,Male_female,Age_Class
0,0,0.172413793,0,0,0.004310345,0,0,0.004310345,0.00862069,0,0,0,0,0,0,0.159482759,0,0,0,0,0,0,0,0.012931034,0.318965517,0,0.163793103,0.155172414,0,b
0,0.014492754,0.043478261,0,0,0,0,0.101449275,0.014492754,0.014492754,0,0.072463768,0.014492754,0.057971014,0.014492754,0,0.014492754,0.086956522,0,0,0.115942029,0,0.101449275,0.014492754,0,0.173913043,0.028985507,0.086956522,0.028985507,0,b
0,0.010752688,0.043010753,0,0.010752688,0.010752688,0,0.053763441,0,0.053763441,0,0.032258065,0.021505376,0,0,0,0.064516129,0.053763441,0,0.010752688,0.064516129,0.053763441,0.032258065,0,0.053763441,0.311827957,0.010752688,0.053763441,0.053763441,1,b
0,0.010869565,0.141304348,0.010869565,0,0.02173913,0,0.010869565,0.02173913,0,0,0,0.032608696,0.02173913,0.02173913,0.010869565,0,0.032608696,0,0.010869565,0.130434783,0.010869565,0.065217391,0.02173913,0.076086957,0.163043478,0,0.108695652,0.076086957,0,b
0,0.016666667,0.083333333,0,0,0,0.033333333,0.016666667,0.033333333,0,0,0.066666667,0,0.05,0.033333333,0,0,0.033333333,0,0,0.05,0.033333333,0.066666667,0.033333333,0.033333333,0.233333333,0,0.066666667,0.116666667,0,c
0,0.034188034,0.102564103,0,0,0,0.017094017,0.017094017,0.051282051,0.025641026,0,0.051282051,0.008547009,0.128205128,0.017094017,0,0,0.05982906,0,0,0.068376068,0.017094017,0.085470085,0,0.034188034,0.128205128,0.025641026,0.034188034,0.094017094,1,c
0,0.076923077,0,0,0.076923077,0,0,0,0,0,0,0,0,0.153846154,0,0,0,0.076923077,0,0,0.076923077,0,0,0,0.076923077,0.153846154,0,0.230769231,0.076923077,0,b
0,0,0,0,0,0,0,0.142857143,0.142857143,0,0.142857143,0,0,0,0,0,0.142857143,0.142857143,0,0,0,0,0.142857143,0,0,0.142857143,0,0,0,0,b
0,0.032258065,0.129032258,0,0,0,0.032258065,0,0,0,0.032258065,0.032258065,0,0.032258065,0,0,0,0.032258065,0,0,0.096774194,0.032258065,0.064516129,0,0.096774194,0.096774194,0,0.096774194,0.193548387,1,a
0,0.088,0.112,0,0.008,0.008,0,0.048,0.008,0.032,0,0.056,0,0.024,0.008,0.008,0.008,0.032,0,0.016,0.104,0,0.032,0.016,0.088,0.096,0.016,0.056,0.136,0,c
0,0.020689655,0.103448276,0,0.04137931,0,0.006896552,0.006896552,0,0.172413793,0,0.068965517,0.020689655,0.020689655,0.006896552,0,0.04137931,0.055172414,0,0,0.075862069,0.006896552,0.04137931,0.006896552,0.027586207,0.117241379,0.013793103,0.062068966,0.082758621,0,b
0,0.01826484,0.050228311,0,0,0.00456621,0,0.00456621,0.00456621,0,0,0.02283105,0.02739726,0.059360731,0.00913242,0,0.00456621,0.082191781,0,0,0.082191781,0.00456621,0.054794521,0.02739726,0.100456621,0.273972603,0.00913242,0.086757991,0.073059361,0,b
0,0.012658228,0.050632911,0,0.012658228,0.006329114,0.006329114,0.018987342,0.037974684,0.025316456,0.006329114,0.03164557,0,0.006329114,0.006329114,0.044303797,0.012658228,0.044303797,0,0.012658228,0.151898734,0.012658228,0.069620253,0.012658228,0.069620253,0.107594937,0.006329114,0.107594937,0.126582278,1,c
0,0.021505376,0.043010753,0.010752688,0.021505376,0.032258065,0.010752688,0.010752688,0.053763441,0,0,0.010752688,0,0.010752688,0,0.032258065,0.010752688,0.043010753,0,0.053763441,0.107526882,0,0.053763441,0,0.150537634,0.107526882,0.010752688,0.096774194,0.107526882,1,c
0.006369427,0.01910828,0.050955414,0,0.006369427,0.031847134,0.025477707,0.012738854,0.025477707,0.025477707,0,0.01910828,0.025477707,0.006369427,0.006369427,0.082802548,0.012738854,0.044585987,0,0.012738854,0.050955414,0,0.01910828,0.025477707,0.050955414,0.229299363,0.01910828,0.050955414,0.140127389,0,c
0.010204082,0.214285714,0.020408163,0,0.010204082,0.010204082,0.030612245,0,0,0.020408163,0,0,0.010204082,0.051020408,0.010204082,0.071428571,0,0.12244898,0,0.020408163,0.06122449,0,0.030612245,0.010204082,0.051020408,0.081632653,0,0.040816327,0.12244898,1,c
0,0.042553191,0.117021277,0.010638298,0.127659574,0.010638298,0,0.021276596,0.021276596,0.031914894,0,0.042553191,0.010638298,0.021276596,0.010638298,0,0.053191489,0.085106383,0,0,0.106382979,0,0.053191489,0.010638298,0.042553191,0.010638298,0.010638298,0.010638298,0.14893617,1,c
0,0.096774194,0.053763441,0,0.010752688,0,0,0,0,0.021505376,0,0.021505376,0.086021505,0.053763441,0,0.150537634,0.010752688,0.021505376,0,0.010752688,0.096774194,0,0.021505376,0.010752688,0.107526882,0.064516129,0.043010753,0.032258065,0.086021505,1,c
0,0.005050505,0.005050505,0.191919192,0,0.005050505,0,0,0,0,0,0,0.005050505,0,0,0,0,0.196969697,0,0,0.388888889,0,0,0,0,0,0,0.005050505,0.196969697,1,c
0,0,0,0,0,0,0,0,0,0,0,0.416666667,0.416666667,0,0,0,0,0,0,0,0.083333333,0,0,0,0,0,0,0.083333333,0,1,b
0,0.013157895,0.046052632,0,0,0.243421053,0.019736842,0,0.006578947,0.019736842,0,0.039473684,0,0,0,0.019736842,0.006578947,0.039473684,0,0.078947368,0.078947368,0.052631579,0.052631579,0,0.072368421,0.065789474,0,0.032894737,0.111842105,0,c
0,0,0.025974026,0,0.032467532,0.305194805,0,0,0,0,0,0.032467532,0,0,0.006493506,0.012987013,0.038961039,0.064935065,0,0.084415584,0.038961039,0.038961039,0.045454545,0.012987013,0.064935065,0.038961039,0.012987013,0.051948052,0.090909091,1,c
0,0.011049724,0.104972376,0.099447514,0,0.049723757,0,0,0,0.016574586,0,0,0.005524862,0.011049724,0,0.005524862,0,0.055248619,0,0.171270718,0.049723757,0,0.033149171,0,0.082872928,0.093922652,0.011049724,0.060773481,0.138121547,1,c
0,0,0.06122449,0.020408163,0,0.183673469,0,0,0.06122449,0.040816327,0,0.040816327,0,0.020408163,0,0.040816327,0,0.081632653,0,0.081632653,0,0,0.020408163,0.020408163,0.040816327,0.12244898,0.020408163,0.06122449,0.081632653,1,c
0.006134969,0.049079755,0.012269939,0,0.006134969,0.09202454,0,0,0.006134969,0.036809816,0,0.042944785,0,0.012269939,0.012269939,0.055214724,0.030674847,0.073619632,0,0.18404908,0.049079755,0.018404908,0.036809816,0,0.024539877,0.036809816,0,0.061349693,0.153374233,0,c
0,0.144444444,0,0.155555556,0,0.011111111,0,0,0,0.011111111,0,0,0,0,0,0.011111111,0,0.077777778,0,0.177777778,0.088888889,0,0.077777778,0,0.033333333,0.022222222,0.022222222,0.144444444,0.022222222,1,c
0,0.117647059,0,0,0,0,0.058823529,0,0,0,0,0,0,0,0,0.117647059,0,0.117647059,0,0.117647059,0.117647059,0,0.117647059,0,0.058823529,0,0,0.058823529,0.117647059,0,c
0,0,0.285714286,0,0,0,0,0,0,0,0,0,0,0,0,0.142857143,0,0.071428571,0,0,0.071428571,0,0,0,0,0.142857143,0,0.071428571,0.214285714,1,b
0.007092199,0.04964539,0.04964539,0,0.028368794,0,0,0.021276596,0.035460993,0.021276596,0.014184397,0.007092199,0,0.056737589,0.028368794,0.028368794,0.014184397,0.04964539,0,0,0.106382979,0,0.028368794,0.028368794,0.09929078,0.184397163,0,0.04964539,0.092198582,1,b
